ID;input1;input2;input3;input4;input5;input6;input7;input8;input9;output1;output2
1;-1704815;1503106;-0.817083;135356;-129366;1362608;0.217795;0.462728;-1237246;22222923;-27036774
2;-0.888962;0.711473;-0.480023;0.748175;-0.981763;1765482;-0.445018;1719143;-109625;1888552;-2837744
3;1143802;-1591273;0.670477;-0.948551;107574;-0.908309;-0.694223;-1321391;0.662656;4587627;-18507566
4;0.630938;-0.295533;1379162;-0.041045;-0.250695;0.025003;0.143915;0.861455;0.87954;1025682;-30017064
5;1799449;-0.913254;1245698;-141094;0.653328;-0.677108;-0.66749;-0.849795;0.497977;4916182;-1767003
6;1520453;-0.812539;0.500494;-1559826;0.76277;-0.845992;-0.345746;-1016599;0.869481;5032122;-1865942
7;-0.228712;0.57548;2276881;0.031452;-0.292926;0.147584;0.07783;0.669634;0.320504;9457703;-28961837
8;0.496089;-1221614;0.917622;-0.812043;0.997887;-1411587;-0.697655;-0.804914;0.885214;3796182;-23274237
9;-0.327573;0.808528;-0.393837;0.542554;-0.258414;0.458461;119497;0.820139;-0.316678;13802171;-30086104
10;-0.950411;1546604;-0.892982;0.679664;-1646395;0.22445;-0.297529;0.709567;-1859275;20396121;-28202145
11;-0.751032;1054727;-0.652535;0.325298;-1451154;1604098;-0.283963;0.182199;-0.693023;22276608;-26972735
12;0.62381;-1089449;-0.049341;-0.943195;1073227;-1267875;-0.307785;-0.340113;0.311588;5081836;-15556685
13;1468469;-1042103;2134496;-0.345095;0.944903;-0.732491;0.517886;-0.136514;155344;5260284;-26284435
14;0.86685;-0.855947;-1440184;-0.748518;0.279385;-0.760468;-0.46137;-1392942;-0.072172;3914464;-22084348
15;-0.89958;2619517;-0.783545;1206832;-0.905877;0.877835;-0.971957;0.525677;-1077143;24121249;-26208612
16;1231736;-0.656419;0.384087;-0.562922;-0.160966;0.110468;0.171518;-0.032225;1199631;630752;-29944189
17;-1261393;0.799445;-0.163731;0.557655;-0.8439;1435876;1176411;1949864;-0.327489;12818538;-31916456
