epoch,loss,MEE,MSE
0,81.97642353602818,6.838613,81.9763
1,7.95493499437968,2.4503248,7.954774
2,5.1416270449048,1.897291,5.1414576
3,4.699992852551596,1.7640672,4.699819
4,4.373293422517323,1.6940655,4.3731165
5,4.204645985648746,1.6570927,4.204467
6,4.138730784257253,1.6438754,4.13855
7,4.12851600703739,1.6392912,4.1283326
8,4.027637413569859,1.603902,4.0274515
9,3.97618605977013,1.5968962,3.975998
10,3.929618639605386,1.5785296,3.9294286
11,3.820872357913426,1.5516042,3.8206809
12,3.828119703701564,1.5577111,3.827926
13,3.802446478889102,1.5483637,3.8022518
14,3.7443537626947676,1.539196,3.7441566
15,3.780095242318653,1.5435166,3.779897
16,3.670922415597098,1.5120187,3.6707225
17,3.7144363749594915,1.5177321,3.7142355
18,3.664970432009016,1.519595,3.664768
19,3.685129301888602,1.5118098,3.6849253
20,3.6881222157251266,1.5152353,3.6879175
21,3.5946309907095775,1.5003177,3.5944242
22,3.5151298755691167,1.4883426,3.5149226
23,3.6303636005946567,1.503487,3.6301546
24,3.5419160780452548,1.4775829,3.5417063
25,3.5504280612582253,1.4929034,3.5502172
26,3.5474929554121837,1.4834207,3.5472808
27,3.56684870946975,1.4940237,3.5666358
28,3.5324895665759133,1.4855558,3.5322757
29,3.5487944795971824,1.4829899,3.5485797
30,3.4996893122082664,1.4707791,3.4994729
31,3.583233424595424,1.4913175,3.5830166
32,3.5385343035062156,1.4782628,3.5383162
33,3.482015093167623,1.4687715,3.4817955
34,3.5385840847378685,1.4848399,3.5383635
35,3.4684936915125166,1.4559454,3.4682722
36,3.4515108437765214,1.4597577,3.4512885
37,3.490724035671779,1.4673315,3.490501
38,3.417174044109526,1.4462363,3.4169493
39,3.3969184046699885,1.4386542,3.3966932
40,3.4147041042645774,1.4458532,3.4144778
41,3.462358696120126,1.4579031,3.4621313
42,3.3883834225790843,1.4413545,3.3881552
43,3.380959547701336,1.4421362,3.3807309
44,3.4188240539459955,1.4520972,3.4185944
45,3.4270651766232083,1.4493773,3.4268353
46,3.395570445628393,1.4479926,3.3953388
47,3.379118323326111,1.4374887,3.378886
48,3.3627516740844365,1.429446,3.3625183
49,3.34908789396286,1.4334929,3.3488533
50,3.357522257736751,1.4314641,3.3572874
51,3.4329639559700373,1.4521991,3.432728
52,3.4151773708207265,1.4553579,3.4149404
53,3.3209509679249356,1.4324226,3.3207128
54,3.309351009981973,1.4292454,3.3091114
55,3.3076031917617437,1.422487,3.3073635
56,3.3645982344945273,1.4371678,3.364357
57,3.316828069232759,1.422858,3.316586
58,3.2492618220193044,1.4071177,3.2490194
59,3.310182435171945,1.4186559,3.3099387
60,3.2710585395495095,1.4111402,3.2708142
61,3.2635679982957386,1.4108107,3.2633224
62,3.3363941056387767,1.4211559,3.3361475
63,3.2627262473106384,1.415029,3.2624788
64,3.276781371661595,1.4142021,3.2765331
65,3.237322205588931,1.4039911,3.2370725
66,3.245865225791931,1.4009334,3.245615
67,3.299500743548075,1.4090627,3.2992504
68,3.2740686195237294,1.4053968,3.2738163
69,3.253569109099252,1.4118614,3.2533162
70,3.2363460007167997,1.4082191,3.236092
71,3.2381806799343655,1.4068542,3.237926
72,3.2280818479401723,1.4037024,3.2278256
73,3.2170621014776684,1.4010307,3.2168052
74,3.179900728520893,1.3911566,3.1796424
75,3.20838155065264,1.4008296,3.2081223
76,3.1804481631233577,1.3893648,3.180189
77,3.1827616663206193,1.393791,3.1825008
78,3.228680590788523,1.4070116,3.2284186
79,3.1671135141735984,1.3896905,3.1668513
80,3.1761376545542763,1.3969694,3.175874
81,3.1990416646003723,1.3958111,3.1987777
82,3.1538340733164834,1.4003321,3.1535685
83,3.155315560953958,1.3865318,3.1550493
84,3.156146466732025,1.3874916,3.1558795
85,3.1674699045362926,1.3913767,3.1672018
86,3.1806876943224953,1.3952377,3.1804185
87,3.141491506780897,1.3842688,3.1412215
88,3.152869692870549,1.3850454,3.1525984
89,3.166720302332015,1.3830491,3.1664484
90,3.129986422402518,1.3794346,3.1297135
91,3.1368817346436635,1.38623,3.1366076
92,3.097706193015689,1.3770652,3.0974317
93,3.102272195475442,1.3746313,3.1019967
94,3.1397501968202137,1.3801247,3.1394734
95,3.112263994557517,1.3785818,3.1119864
96,3.118688376176925,1.3907915,3.1184103
97,3.0990900624366033,1.3796564,3.098811
98,3.099563425495511,1.3748888,3.0992835
99,3.1690810180845714,1.3958008,3.1687996
100,3.093610181694939,1.3708075,3.0933282
101,3.085158421879723,1.3746619,3.0848756
102,3.057925834542229,1.3726093,3.057642
103,3.107591498465765,1.3790917,3.1073067
104,3.058509965737661,1.3678629,3.0582242
105,3.098372382777078,1.373462,3.0980856
106,3.0405201514561973,1.3577808,3.0402327
107,3.0851544936498008,1.375529,3.084866
108,3.080213805039724,1.3716985,3.0799243
109,3.026466258934566,1.3605822,3.0261762
110,3.0311415734745206,1.3657124,3.0308506
111,3.05978471608389,1.3637221,3.0594926
112,3.047942275092715,1.3667347,3.0476499
113,3.05998851004101,1.3717949,3.0596952
114,3.052245929127648,1.3656338,3.051952
115,3.092092746780032,1.3753321,3.091798
116,3.0276757194882347,1.3666372,3.02738
117,3.065442062559582,1.3633991,3.0651453
118,3.054890499228523,1.3714308,3.054593
119,3.0159374390329634,1.3599396,3.015639
120,3.0486138746851967,1.3631146,3.0483148
121,3.023220967678797,1.3609927,3.0229208
122,3.0294103735969182,1.3596762,3.0291097
123,3.0022637304805575,1.3633043,3.0019624
124,3.007574186438606,1.3577878,3.0072718
125,3.0340417538370406,1.3676292,3.0337384
126,2.9811353456406366,1.3475386,2.9808316
127,3.0118257190499986,1.3574663,3.011521
128,3.0119874619302296,1.3574696,3.0116823
