epoch,loss,BinaryAccuracy,Val_loss,Val_BinaryAccuracy
0,0.2514793846395708,0.5080645,0.23226759,0.6643519
1,0.21066284516165334,0.67741936,0.19546385,0.7314815
2,0.1690148605829886,0.7580645,0.1831398,0.7453704
3,0.15221582441740938,0.7822581,0.18498506,0.7337963
4,0.14347946807937395,0.82258064,0.19760771,0.7476852
5,0.13257874306967302,0.8467742,0.19792376,0.7592593
6,0.13078234034530337,0.8548387,0.17812344,0.7962963
7,0.12219191679070072,0.87903225,0.17732097,0.8009259
8,0.11984788457442436,0.87903225,0.17680405,0.7893519
9,0.11750338687899432,0.87096775,0.1669954,0.8055556
10,0.10760595306290328,0.88709676,0.16363052,0.8148148
11,0.10706721813203918,0.8951613,0.15303774,0.8171296
12,0.10059207139819328,0.8951613,0.143767,0.8333333
13,0.09487820001959335,0.8951613,0.13283509,0.8287037
14,0.0841035345755142,0.8951613,0.13491753,0.8402778
15,0.07019406361483092,0.91935486,0.08922447,0.8842593
16,0.0550453005348719,0.9354839,0.07700152,0.9166667
17,0.04260017254052451,0.9596774,0.05537711,0.9398148
18,0.034566885852449734,0.9596774,0.0401033,0.9652778
19,0.022843195838035055,0.983871,0.03746598,0.9467593
20,0.018609303187641642,0.983871,0.02055491,1.0
21,0.012714034636202643,1.0,0.0155946985,1.0
22,0.009257891656364248,1.0,0.012509972,1.0
23,0.007170975023801739,1.0,0.010360306,1.0
24,0.006334939779926865,1.0,0.009321344,1.0
25,0.005347053976067635,1.0,0.008601429,1.0
26,0.0044683539428895585,1.0,0.0084011555,1.0
27,0.004059449237861519,1.0,0.0071456176,1.0
28,0.003616954324697065,1.0,0.0058559277,1.0
29,0.003219953939914112,1.0,0.0051377825,1.0
30,0.002981814233275908,1.0,0.0049930755,1.0
31,0.0027109552732825603,1.0,0.0048244735,1.0
32,0.0024979478867980134,1.0,0.004301608,1.0
33,0.002303888894697219,1.0,0.004374194,1.0
34,0.002176912968450544,1.0,0.003931456,1.0
35,0.0020244036318364388,1.0,0.0035769464,1.0
36,0.0019072265630650429,1.0,0.0034488528,1.0
37,0.0017932356881829037,1.0,0.00341153,1.0
38,0.001700269554478171,1.0,0.0031917465,1.0
39,0.001607753905597248,1.0,0.0030453491,1.0
40,0.0015205761259743844,1.0,0.0029813158,1.0
41,0.0014513189747988016,1.0,0.0027445569,1.0
42,0.0013880106753453266,1.0,0.0026221965,1.0
43,0.001326436257797116,1.0,0.002618836,1.0
44,0.0012708119807910171,1.0,0.002422146,1.0
45,0.0012203297546288776,1.0,0.0023500621,1.0
46,0.0011702214658784683,1.0,0.0022571576,1.0
47,0.001127265327555403,1.0,0.0021588607,1.0
48,0.0010866433706049124,1.0,0.0021120792,1.0
49,0.0010464474221014636,1.0,0.0020168412,1.0
50,0.0010115885816342216,1.0,0.0019632091,1.0
51,0.0009751624261298275,1.0,0.0018643414,1.0
52,0.0009463203028468754,1.0,0.0018392719,1.0
53,0.0009165477210244021,1.0,0.0018147951,1.0
54,0.0008879629629137203,1.0,0.0017820582,1.0
55,0.0008596500127374208,1.0,0.0017713986,1.0
56,0.0008371154191125595,1.0,0.0016924811,1.0
57,0.0008142595161555824,1.0,0.0016410844,1.0
58,0.0007925228720028963,1.0,0.0015909114,1.0
59,0.0007699288760470095,1.0,0.0015371111,1.0
60,0.0007495038796735016,1.0,0.0015138291,1.0
61,0.0007315726535022893,1.0,0.0014644862,1.0
62,0.0007129979137663477,1.0,0.0014443793,1.0
63,0.0006961544401541863,1.0,0.0014078816,1.0
64,0.000679339652665036,1.0,0.0013800402,1.0
65,0.0006635112742969795,1.0,0.0013458864,1.0
66,0.0006486400466201303,1.0,0.0013119394,1.0
67,0.0006337376351408448,1.0,0.0013000877,1.0
68,0.0006206849122698318,1.0,0.0012725487,1.0
69,0.0006064998932405644,1.0,0.0012444945,1.0
70,0.0005930338503833721,1.0,0.0012307101,1.0
71,0.0005818278358777118,1.0,0.0011966683,1.0
72,0.0005704175051806165,1.0,0.001185623,1.0
73,0.0005591922868194754,1.0,0.0011607868,1.0
74,0.0005482919931960021,1.0,0.0011390162,1.0
75,0.0005375254368306426,1.0,0.0011193448,1.0
76,0.0005278422238351625,1.0,0.0010887984,1.0
77,0.000518265662476423,1.0,0.0010704903,1.0
78,0.0005084554827723122,1.0,0.0010578344,1.0
79,0.0004990361002210046,1.0,0.001044005,1.0
80,0.0004911292425159416,1.0,0.0010292334,1.0
81,0.0004822803238341528,1.0,0.0010071327,1.0
82,0.00047414275117731565,1.0,0.0009891072,1.0
83,0.0004659389537797478,1.0,0.0009741716,1.0
84,0.000458508033529465,1.0,0.0009631441,1.0
85,0.0004510447111281411,1.0,0.000946848,1.0
86,0.0004439624604727319,1.0,0.00093031756,1.0
87,0.00043681889793994116,1.0,0.0009152762,1.0
88,0.00042997898149664136,1.0,0.00090301235,1.0
89,0.000423727869243721,1.0,0.00089275173,1.0
90,0.0004173251583940709,1.0,0.0008814433,1.0
91,0.0004105478233947407,1.0,0.0008695058,1.0
92,0.0004050052667157762,1.0,0.0008531301,1.0
93,0.00039909595317376737,1.0,0.0008393889,1.0
94,0.0003933317867479915,1.0,0.0008326087,1.0
95,0.00038797514186274295,1.0,0.00082305446,1.0
96,0.00038251518438506363,1.0,0.00081217405,1.0
97,0.00037721116987012786,1.0,0.0008042965,1.0
98,0.0003721339336453316,1.0,0.00079234526,1.0
99,0.00036729409994002766,1.0,0.0007825171,1.0
epoch,loss,BinaryAccuracy,Val_loss,Val_BinaryAccuracy
0,0.25212293214374976,0.5080645,0.23070838,0.6689815
1,0.21234565522641904,0.7016129,0.19544922,0.7291667
2,0.17186074003186677,0.766129,0.18347521,0.7337963
3,0.1555797001046519,0.766129,0.18496612,0.7337963
4,0.14726387158096318,0.83064514,0.19597302,0.7569444
5,0.13807270802827853,0.83064514,0.20230103,0.7638889
6,0.1357844450676273,0.8548387,0.1843711,0.7939815
7,0.12710578513008752,0.87096775,0.18815358,0.8032407
8,0.12654090494165318,0.87096775,0.18634647,0.7893519
9,0.12436961112900698,0.86290324,0.17922366,0.8101852
10,0.1142554165424137,0.88709676,0.178348,0.8148148
11,0.11633570191465438,0.87096775,0.17239037,0.8310185
12,0.11206285247622404,0.8951613,0.17192851,0.8240741
13,0.11184641104081229,0.8951613,0.17066832,0.8333333
14,0.10832210378465525,0.8951613,0.17296226,0.8333333
15,0.10690743446819749,0.8951613,0.16974393,0.8310185
16,0.1068706622873217,0.8951613,0.16644135,0.8333333
17,0.10557352332148918,0.8951613,0.16566622,0.8333333
18,0.10423166188798684,0.8951613,0.16581161,0.8333333
19,0.10362888963778284,0.8951613,0.16163416,0.8333333
20,0.10270579017941922,0.8951613,0.15893462,0.8333333
21,0.099905772769665,0.8951613,0.15166643,0.8333333
22,0.09594850370452943,0.8951613,0.14369734,0.8333333
23,0.08832449467374845,0.8951613,0.119679436,0.8333333
24,0.07982542577308542,0.9032258,0.10251748,0.8703704
25,0.06581397069573042,0.92741936,0.08866359,0.9143519
26,0.05157836745943754,0.9596774,0.08783945,0.9143519
27,0.04710943925422931,0.9596774,0.08178649,0.9166667
28,0.04450899035354298,0.9596774,0.07585326,0.9166667
29,0.041357715686430194,0.9596774,0.06910895,0.9166667
30,0.041021512780008054,0.9596774,0.06825166,0.9166667
31,0.03932644153152773,0.9596774,0.06883114,0.9166667
32,0.037669511551352876,0.9596774,0.06425449,0.9166667
33,0.03565230450100986,0.9596774,0.06756557,0.9166667
34,0.03533447064311927,0.9596774,0.057527613,0.9166667
35,0.033142042047515016,0.9596774,0.049172595,0.9166667
36,0.03140891122521087,0.9596774,0.043641325,0.9166667
37,0.025442349684805864,0.9677419,0.03962076,0.9328704
38,0.020395703341795333,0.9758065,0.028560648,0.9722222
39,0.015525015496091182,0.9919355,0.022262547,0.9907407
40,0.011998896599013074,1.0,0.01837113,1.0
41,0.010124493725309167,1.0,0.013154043,1.0
42,0.00879326109731223,1.0,0.010928876,1.0
43,0.007559358460463456,1.0,0.0108512,1.0
44,0.00665172152648372,1.0,0.0086396355,1.0
45,0.005942773332090808,1.0,0.008002828,1.0
46,0.005214877852385173,1.0,0.0067706793,1.0
47,0.004656393051655252,1.0,0.0060275737,1.0
48,0.004110148062952043,1.0,0.0054151407,1.0
49,0.0036419534879764074,1.0,0.0047355196,1.0
50,0.003260047584820225,1.0,0.0042970586,1.0
51,0.0029180151195173348,1.0,0.003813849,1.0
52,0.0026312031778586735,1.0,0.0035655678,1.0
53,0.0023951809665322937,1.0,0.0032957213,1.0
54,0.0021864590448419014,1.0,0.0030416306,1.0
55,0.0019944275447282816,1.0,0.0028729003,1.0
56,0.0018647291319153268,1.0,0.002620655,1.0
57,0.0017303307383010928,1.0,0.0024262806,1.0
58,0.0016153067799000648,1.0,0.0022530924,1.0
59,0.0015094545275543727,1.0,0.0021061809,1.0
60,0.0014196313360910135,1.0,0.0020096926,1.0
61,0.001340834331974674,1.0,0.0018906629,1.0
62,0.0012693648226148422,1.0,0.0018065353,1.0
63,0.0012065805783311502,1.0,0.0017155319,1.0
64,0.0011476391460717187,1.0,0.0016341143,1.0
65,0.0010945474688572089,1.0,0.001562305,1.0
66,0.0010461058470589764,1.0,0.0014938068,1.0
67,0.0010013473169627036,1.0,0.0014344648,1.0
68,0.000960773964211072,1.0,0.0013786891,1.0
69,0.0009216193206626603,1.0,0.0013286507,1.0
70,0.0008848017425201936,1.0,0.0012893282,1.0
71,0.0008545221085847927,1.0,0.0012373844,1.0
72,0.000824083314662696,1.0,0.0011989058,1.0
73,0.0007959719165919826,1.0,0.0011618116,1.0
74,0.0007701867862124345,1.0,0.001122721,1.0
75,0.0007450105028983818,1.0,0.0010872527,1.0
76,0.0007233862198488843,1.0,0.0010489321,1.0
77,0.0006999803049915675,1.0,0.0010160222,1.0
78,0.0006791772951595888,1.0,0.0009892898,1.0
79,0.0006596150982381511,1.0,0.0009629201,1.0
80,0.0006428584716896664,1.0,0.0009389761,1.0
81,0.0006239406033596277,1.0,0.0009115769,1.0
82,0.000607372527156258,1.0,0.00088686025,1.0
83,0.0005914778800535298,1.0,0.00086578546,1.0
84,0.0005769089895726475,1.0,0.00084555603,1.0
85,0.000562582794343818,1.0,0.0008248528,1.0
86,0.000549017505678323,1.0,0.0008040582,1.0
87,0.0005361716755488724,1.0,0.0007853956,1.0
88,0.0005237012238621314,1.0,0.00076910894,1.0
89,0.0005120698023721654,1.0,0.00075228175,1.0
90,0.0005008264373155806,1.0,0.0007362024,1.0
91,0.0004895619655115063,1.0,0.000720742,1.0
92,0.000479631728012464,1.0,0.00070467073,1.0
93,0.0004695776137117308,1.0,0.0006900994,1.0
94,0.0004600414868027582,1.0,0.00067757483,1.0
95,0.00045099267724928665,1.0,0.0006649971,1.0
96,0.0004420653304372712,1.0,0.00065248273,1.0
97,0.00043352473921327,1.0,0.00064131385,1.0
98,0.000425326893500897,1.0,0.0006295028,1.0
99,0.0004176434609733758,1.0,0.0006179852,1.0
epoch,loss,BinaryAccuracy,Val_loss,Val_BinaryAccuracy
0,0.2529332854094044,0.5,0.23199241,0.6643519
1,0.2131033531960941,0.6854839,0.19530049,0.7268519
