epoch,loss,BinaryAccuracy,MSE,Test_loss,Test_BinaryAccuracy,Test_MSE
0,0.2514960463008573,0.46774194,0.25149602,0.24670342,0.5162037,0.24670343
1,0.2423688596294772,0.61290324,0.24236886,0.2284604,0.6805556,0.2284604
2,0.2052752091999977,0.7177419,0.2052752,0.20169346,0.7083333,0.20169346
3,0.17440083022079161,0.7580645,0.17440082,0.18966402,0.7337963,0.189664
4,0.16158821085287678,0.8064516,0.1615882,0.18710154,0.7384259,0.18710154
5,0.14983657278841542,0.8145161,0.14983657,0.19344704,0.7453704,0.19344704
6,0.1413151961300642,0.83064514,0.1413152,0.18435873,0.7430556,0.18435873
7,0.13836086931968888,0.82258064,0.13836089,0.19020508,0.7476852,0.19020507
8,0.14115579234015557,0.83064514,0.14115578,0.19323419,0.7453704,0.1932342
9,0.13332904764120618,0.83870965,0.13332905,0.18076755,0.7430556,0.18076757
10,0.1297995394035693,0.8548387,0.12979954,0.18676338,0.75,0.18676336
11,0.13255091532764415,0.8467742,0.13255091,0.17884777,0.775463,0.17884779
12,0.12283799818326388,0.8548387,0.122838,0.1771188,0.7731481,0.1771188
13,0.1260833201569415,0.86290324,0.12608333,0.17472418,0.7939815,0.17472418
14,0.1175507934643857,0.87903225,0.11755079,0.18365048,0.7800926,0.1836505
15,0.11379709973510715,0.88709676,0.1137971,0.17244154,0.7939815,0.17244153
16,0.11329054698017577,0.87903225,0.11329054,0.16573627,0.8217593,0.16573626
17,0.10953604447985849,0.8951613,0.10953604,0.16481946,0.8287037,0.16481946
18,0.1049498473143866,0.8951613,0.10494985,0.16457604,0.8240741,0.16457602
19,0.10285088054895881,0.8951613,0.102850884,0.15388326,0.8333333,0.15388326
20,0.09858852718025446,0.88709676,0.09858852,0.14720145,0.8333333,0.14720145
21,0.09399263409056491,0.8951613,0.09399264,0.13756116,0.8333333,0.13756116
22,0.08715035330744521,0.8951613,0.08715035,0.12935111,0.8333333,0.12935111
23,0.08075957526002199,0.8951613,0.08075958,0.11434051,0.8472222,0.11434051
24,0.07659280777818733,0.91129035,0.076592796,0.10528063,0.8611111,0.10528063
25,0.06963157101023582,0.9354839,0.06963157,0.09793158,0.8935185,0.09793157
26,0.061989072169507706,0.9516129,0.061989073,0.094138235,0.8865741,0.09413823
27,0.05465091258708027,0.9516129,0.05465091,0.08742517,0.912037,0.08742517
28,0.05006394587877777,0.9596774,0.05006395,0.07335949,0.9166667,0.07335948
29,0.04324013256342779,0.9596774,0.043240126,0.05964628,0.9212963,0.05964628
30,0.04001068970518968,0.9596774,0.04001069,0.052893028,0.9212963,0.05289303
31,0.03417301721750728,0.9596774,0.034173016,0.04872158,0.9189815,0.048721585
32,0.028829106923019994,0.9596774,0.028829107,0.03895182,0.9768519,0.03895182
33,0.023283237382964863,0.9919355,0.023283234,0.03810615,0.9467593,0.038106147
34,0.02114386073193483,0.983871,0.021143861,0.026339905,1.0,0.026339905
35,0.016953517945723667,1.0,0.016953519,0.021169463,1.0,0.021169465
36,0.014900451634950455,1.0,0.014900452,0.018945755,1.0,0.018945757
37,0.01231049095851279,1.0,0.012310489,0.018202594,1.0,0.018202594
38,0.01069017013928568,1.0,0.010690171,0.014972185,1.0,0.014972185
39,0.00929608384537841,1.0,0.009296084,0.0130161205,1.0,0.013016121
40,0.007924647346484445,1.0,0.007924647,0.012617039,1.0,0.012617038
41,0.007208775075513029,1.0,0.0072087753,0.0100504765,1.0,0.010050477
42,0.0065645454679695596,1.0,0.006564545,0.008999579,1.0,0.008999579
43,0.005916623744152246,1.0,0.005916623,0.008872066,1.0,0.008872066
44,0.005403319829060967,1.0,0.0054033203,0.0076075643,1.0,0.0076075643
45,0.00496909532868754,1.0,0.0049690953,0.007175232,1.0,0.007175232
46,0.004566243335214113,1.0,0.004566243,0.006602314,1.0,0.006602314
47,0.004261090140414214,1.0,0.0042610904,0.006097183,1.0,0.006097184
48,0.003975404660224975,1.0,0.0039754044,0.0058984216,1.0,0.005898421
49,0.003719173814921129,1.0,0.0037191738,0.0054135625,1.0,0.0054135625
50,0.0035045576129754583,1.0,0.0035045575,0.005158385,1.0,0.0051583843
51,0.0032660075380737262,1.0,0.0032660074,0.0047245543,1.0,0.0047245543
52,0.0031246572503850103,1.0,0.0031246573,0.004610697,1.0,0.004610697
53,0.002944007385409467,1.0,0.0029440073,0.004477944,1.0,0.004477944
54,0.0027924376622650016,1.0,0.0027924378,0.0042613153,1.0,0.0042613153
55,0.002652552337460821,1.0,0.0026525522,0.004181016,1.0,0.004181016
56,0.0025496248812076727,1.0,0.002549625,0.003874663,1.0,0.0038746633
57,0.0024437518220492486,1.0,0.002443752,0.0036966472,1.0,0.0036966472
58,0.0023337262936101687,1.0,0.0023337263,0.003535026,1.0,0.003535026
59,0.0022351789849645066,1.0,0.002235179,0.0033705009,1.0,0.0033705009
60,0.002145297653529973,1.0,0.0021452976,0.0032746852,1.0,0.0032746855
61,0.002061889674927619,1.0,0.0020618895,0.003120833,1.0,0.003120833
62,0.0019926217538605052,1.0,0.001992622,0.0030510298,1.0,0.0030510298
63,0.0019180258236555082,1.0,0.0019180259,0.0029229054,1.0,0.0029229054
64,0.001850692702235744,1.0,0.0018506927,0.0028463935,1.0,0.0028463935
65,0.0017912095171331817,1.0,0.0017912094,0.0027415003,1.0,0.0027415003
66,0.0017286889879253595,1.0,0.0017286888,0.0026392874,1.0,0.0026392872
67,0.0016738473242449185,1.0,0.0016738472,0.0025891664,1.0,0.0025891666
68,0.0016242577778851433,1.0,0.0016242578,0.00250973,1.0,0.00250973
69,0.0015719535492075187,1.0,0.0015719534,0.002432139,1.0,0.002432139
70,0.0015244339329881533,1.0,0.001524434,0.002372943,1.0,0.0023729433
71,0.001484327639768561,1.0,0.0014843277,0.0022906482,1.0,0.0022906484
72,0.0014434097369479377,1.0,0.0014434097,0.0022562612,1.0,0.0022562614
73,0.001408099642327626,1.0,0.0014080997,0.0021865766,1.0,0.0021865766
74,0.0013664162524359962,1.0,0.0013664162,0.0021229298,1.0,0.0021229298
75,0.001331053069612432,1.0,0.0013310532,0.0020691638,1.0,0.0020691638
76,0.0013010123231299898,1.0,0.0013010124,0.0020012918,1.0,0.0020012918
77,0.0012650491750513715,1.0,0.0012650491,0.0019549618,1.0,0.0019549618
78,0.0012351756642249624,1.0,0.0012351756,0.0019197896,1.0,0.0019197896
79,0.0012046873387354877,1.0,0.0012046873,0.0018797597,1.0,0.0018797596
80,0.0011790905630351194,1.0,0.0011790906,0.0018387296,1.0,0.0018387297
81,0.0011499056708998978,1.0,0.0011499055,0.0017883206,1.0,0.0017883206
82,0.0011237823177174095,1.0,0.0011237822,0.001747834,1.0,0.001747834
83,0.0011013318019855256,1.0,0.0011013319,0.001714351,1.0,0.001714351
84,0.0010779973062228472,1.0,0.0010779974,0.0016845542,1.0,0.0016845542
85,0.001052972962145671,1.0,0.0010529729,0.0016525487,1.0,0.0016525486
86,0.0010334811332511655,1.0,0.0010334812,0.0016140366,1.0,0.0016140367
87,0.0010137976139137003,1.0,0.0010137976,0.0015814421,1.0,0.001581442
88,0.000991930300745392,1.0,0.0009919303,0.001552504,1.0,0.0015525039
89,0.0009726482765531287,1.0,0.0009726482,0.0015267782,1.0,0.0015267782
90,0.0009543699533453271,1.0,0.00095436996,0.0014993014,1.0,0.0014993015
91,0.0009361450639047571,1.0,0.000936145,0.0014706338,1.0,0.0014706339
92,0.0009212808641501808,1.0,0.0009212808,0.0014369742,1.0,0.0014369742
93,0.0009014774458914724,1.0,0.0009014774,0.0014098346,1.0,0.0014098346
94,0.0008864530546200131,1.0,0.000886453,0.0013906471,1.0,0.0013906473
95,0.0008706903867160661,1.0,0.0008706904,0.001369909,1.0,0.0013699092
96,0.0008558866144495926,1.0,0.0008558866,0.0013480538,1.0,0.0013480538
97,0.0008402762460982851,1.0,0.00084027625,0.0013305371,1.0,0.0013305371
98,0.0008265928535688398,1.0,0.00082659285,0.0013042012,1.0,0.0013042012
99,0.0008140267243781577,1.0,0.00081402675,0.0012823932,1.0,0.0012823932
