epoch,loss,BinaryAccuracy,MSE,Test_loss,Test_BinaryAccuracy,Test_MSE
0,0.24889024066143348,0.60655737,0.24889024,0.24822009,0.6226852,0.2482201
1,0.2482070659027725,0.57377046,0.24820708,0.24747454,0.6597222,0.24747454
2,0.24732933254515538,0.647541,0.24732934,0.24652174,0.6828704,0.24652174
3,0.24624718114977978,0.647541,0.24624717,0.2453286,0.724537,0.2453286
4,0.2449761226040418,0.6803279,0.24497612,0.24383666,0.7638889,0.24383666
5,0.24323243586743465,0.75409836,0.24323243,0.2420017,0.7777778,0.2420017
6,0.24116731960265364,0.75409836,0.24116732,0.23958252,0.8240741,0.23958252
7,0.23856369393770813,0.8278689,0.23856369,0.23655675,0.8634259,0.23655675
8,0.23523938875706468,0.8606557,0.2352394,0.23279263,0.8912037,0.23279263
9,0.231016963231759,0.8442623,0.23101698,0.22800644,0.9259259,0.22800644
10,0.22607655285811815,0.89344263,0.22607654,0.22228944,0.9421296,0.22228943
11,0.21980483194843667,0.90163934,0.21980484,0.21571757,0.9513889,0.21571755
12,0.21284450688323037,0.91803277,0.21284454,0.20768291,0.9583333,0.20768292
13,0.2047909862193905,0.92622954,0.204791,0.19884269,0.962963,0.19884269
14,0.1955449886497904,0.91803277,0.19554497,0.18936606,0.9652778,0.18936606
15,0.18592431640527288,0.93442625,0.1859243,0.17909889,0.9699074,0.17909889
16,0.17570623828739415,0.93442625,0.17570624,0.16780221,0.9675926,0.16780221
17,0.1654235346884024,0.93442625,0.16542354,0.15746327,0.9699074,0.15746327
18,0.15543681419775135,0.93442625,0.15543681,0.14581071,0.9722222,0.14581071
19,0.14572327510743846,0.93442625,0.14572328,0.1354787,0.9722222,0.1354787
20,0.13645458630606777,0.93442625,0.1364546,0.1258377,0.9722222,0.1258377
21,0.12803685567418083,0.93442625,0.12803686,0.11653946,0.9722222,0.11653946
22,0.12047862762310466,0.93442625,0.12047862,0.10924198,0.9722222,0.109241985
23,0.11338799196432849,0.93442625,0.11338799,0.100824386,0.9722222,0.100824386
24,0.10727308861544875,0.93442625,0.10727309,0.0947991,0.9722222,0.0947991
25,0.10179487915068376,0.93442625,0.101794876,0.08804855,0.9722222,0.08804854
26,0.09667031302071008,0.93442625,0.096670315,0.08300355,0.9722222,0.08300355
27,0.092358832842991,0.93442625,0.09235882,0.07864272,0.9722222,0.07864271
28,0.08852387118901385,0.93442625,0.08852387,0.07393674,0.9722222,0.07393674
29,0.08516786568111083,0.93442625,0.08516787,0.07026696,0.9722222,0.07026696
30,0.08225848179188419,0.93442625,0.08225848,0.06645554,0.9722222,0.06645554
31,0.07984804854438197,0.93442625,0.079848036,0.06392995,0.9722222,0.06392995
32,0.07742715399468043,0.93442625,0.07742714,0.061271396,0.9722222,0.06127139
33,0.07545728638355971,0.93442625,0.07545728,0.05938794,0.9722222,0.05938794
34,0.07363549391281043,0.93442625,0.07363549,0.05711921,0.9722222,0.057119206
35,0.07197264136105287,0.93442625,0.071972646,0.05533311,0.9722222,0.05533311
36,0.07065513090337397,0.93442625,0.07065514,0.054101653,0.9722222,0.054101653
37,0.06925433358085938,0.93442625,0.06925433,0.05265927,0.9722222,0.05265927
38,0.06818990569683861,0.93442625,0.068189904,0.0516567,0.9722222,0.051656697
39,0.06721894991141363,0.93442625,0.06721896,0.050619397,0.9722222,0.050619397
40,0.06632783629198666,0.93442625,0.06632784,0.04977405,0.9722222,0.04977405
41,0.0653345406696689,0.93442625,0.065334536,0.049316626,0.9722222,0.049316622
42,0.06452168660910158,0.93442625,0.064521685,0.04847903,0.9722222,0.04847903
43,0.0638701683979054,0.93442625,0.06387017,0.048372358,0.9722222,0.04837236
44,0.06329110779295691,0.93442625,0.06329111,0.046952672,0.9722222,0.046952672
45,0.06268923515148583,0.93442625,0.06268924,0.046479538,0.9722222,0.046479538
46,0.06194038376819006,0.93442625,0.061940383,0.04678916,0.9722222,0.04678916
47,0.061532873631699285,0.93442625,0.06153288,0.046394404,0.9722222,0.046394408
48,0.06104145588908635,0.93442625,0.061041456,0.045995083,0.9722222,0.04599508
49,0.06080709413823779,0.93442625,0.060807094,0.045349907,0.9722222,0.04534991
50,0.060179584991705955,0.93442625,0.060179587,0.045277398,0.9722222,0.045277398
51,0.05990300164319438,0.93442625,0.059902992,0.04427321,0.9722222,0.04427321
52,0.05931054262184828,0.93442625,0.059310544,0.044805117,0.9722222,0.044805113
53,0.05896134646876608,0.93442625,0.05896134,0.044121232,0.9722222,0.044121232
54,0.05859014156205793,0.93442625,0.058590148,0.044449285,0.9722222,0.04444929
55,0.05832159836188753,0.93442625,0.0583216,0.04396436,0.9722222,0.043964364
56,0.05792470394297824,0.93442625,0.0579247,0.04392755,0.9722222,0.04392755
57,0.05759908258724103,0.93442625,0.057599083,0.043632895,0.9722222,0.0436329
58,0.05733000331741498,0.93442625,0.057329997,0.043051224,0.9722222,0.043051228
59,0.057096160041286655,0.93442625,0.057096153,0.042876143,0.9722222,0.042876143
60,0.05672252228217329,0.93442625,0.056722526,0.04286329,0.9722222,0.042863287
61,0.05651502448781088,0.93442625,0.056515027,0.04319325,0.9722222,0.04319325
62,0.056182082714780125,0.93442625,0.056182086,0.04309793,0.9722222,0.04309793
63,0.05602563126585217,0.93442625,0.056025628,0.043040536,0.9722222,0.043040536
64,0.05573506530834225,0.93442625,0.055735063,0.043255433,0.9699074,0.043255437
65,0.05545932056893285,0.93442625,0.05545932,0.0424963,0.9722222,0.0424963
66,0.05527932387199368,0.93442625,0.055279326,0.043725614,0.9699074,0.043725614
67,0.05502584303460145,0.93442625,0.05502584,0.044035718,0.9675926,0.044035718
68,0.05480191110109445,0.94262296,0.054801915,0.043160297,0.9699074,0.0431603
69,0.05452013571391676,0.94262296,0.054520138,0.0424541,0.9699074,0.0424541
70,0.05442597663514774,0.94262296,0.054425977,0.042807344,0.9699074,0.042807344
71,0.0542550325888919,0.94262296,0.05425503,0.043047693,0.9675926,0.043047696
72,0.05396662499959825,0.94262296,0.053966623,0.04232366,0.9675926,0.04232366
73,0.05386373495776588,0.94262296,0.053863738,0.04250964,0.9675926,0.04250964
74,0.0536344857432223,0.93442625,0.053634487,0.043061834,0.9675926,0.04306183
75,0.053521487877139305,0.94262296,0.053521488,0.042966764,0.9675926,0.04296676
76,0.05327119940909038,0.93442625,0.053271204,0.044287995,0.9652778,0.044287995
77,0.05300127745282285,0.94262296,0.053001273,0.0450337,0.9652778,0.0450337
78,0.05302414947383098,0.94262296,0.05302415,0.045282748,0.962963,0.045282748
79,0.05285696574528778,0.94262296,0.052856967,0.044969708,0.962963,0.044969708
80,0.05277034765458666,0.94262296,0.05277035,0.0438245,0.9652778,0.0438245
81,0.05263401497991328,0.94262296,0.052634012,0.043372277,0.9652778,0.043372277
82,0.05241260771853391,0.94262296,0.052412607,0.043051608,0.9652778,0.043051608
83,0.052132501455833063,0.94262296,0.052132502,0.0432543,0.9652778,0.0432543
84,0.0521332744616809,0.94262296,0.052133277,0.043425117,0.9652778,0.04342512
85,0.05208557636999968,0.94262296,0.05208558,0.044403356,0.9606481,0.044403356
86,0.05190208978945252,0.94262296,0.05190209,0.04412252,0.9606481,0.044122517
87,0.05155868441835962,0.94262296,0.05155868,0.042642213,0.9652778,0.042642213
88,0.05146499563077251,0.94262296,0.05146499,0.041937325,0.9652778,0.041937325
89,0.05131534041672731,0.94262296,0.05131534,0.043388136,0.9606481,0.04338814
90,0.05115973028558551,0.94262296,0.05115973,0.043005127,0.962963,0.043005127
91,0.05105079099589378,0.94262296,0.05105079,0.04205451,0.9652778,0.042054508
92,0.051128529589806904,0.94262296,0.051128533,0.04234459,0.962963,0.04234458
93,0.05088146515684412,0.94262296,0.050881468,0.042598963,0.962963,0.042598963
94,0.05086542371675738,0.94262296,0.050865423,0.042717334,0.9606481,0.042717334
95,0.05083884330994553,0.94262296,0.050838843,0.042783514,0.9606481,0.042783514
96,0.05063357333687027,0.94262296,0.050633576,0.043032646,0.9606481,0.043032642
97,0.0505645970479236,0.94262296,0.0505646,0.043033663,0.9606481,0.04303366
98,0.050460835338377426,0.94262296,0.050460834,0.043051466,0.9606481,0.04305147
99,0.05049368172486076,0.94262296,0.05049368,0.04241787,0.9606481,0.042417873
