epoch,loss,BinaryAccuracy,MSE,Test_loss,Test_BinaryAccuracy,Test_MSE
0,0.2509269291748766,0.40983605,0.25089607,0.2503143,0.47453704,0.25028396
1,0.2505112954827606,0.48360655,0.25048143,0.24992949,0.5185185,0.2499
2,0.25007658341868977,0.5327869,0.25004736,0.24953075,0.5555556,0.24950187
3,0.24965858532757054,0.5081967,0.24962986,0.24912621,0.5856481,0.24909772
4,0.24928792260709356,0.52459013,0.24925952,0.24869186,0.6064815,0.24866357
5,0.24873964464078185,0.59836066,0.24871133,0.24824058,0.599537,0.24821222
6,0.24822335580333335,0.57377046,0.24819475,0.24762605,0.6342593,0.2475974
7,0.24761402826817308,0.6229508,0.24758516,0.2468951,0.6643519,0.24686582
8,0.2467887364938611,0.6557377,0.24675891,0.24599366,0.6921296,0.24596341
9,0.24570423315783016,0.59836066,0.24567321,0.24479678,0.7731481,0.2447651
10,0.24454115013607214,0.6967213,0.24450871,0.24336366,0.8101852,0.24332999
11,0.2428285416032447,0.7704918,0.24279363,0.24167311,0.8194444,0.24163678
12,0.24098198433391382,0.8032787,0.2409441,0.23942387,0.8657407,0.23938404
13,0.2386248170352373,0.86885244,0.23858291,0.2367341,0.8912037,0.23668978
14,0.23561090792788833,0.90163934,0.23556417,0.23353285,0.8958333,0.23348278
15,0.23209203022425293,0.91803277,0.23203863,0.22958916,0.9143519,0.22953193
16,0.22770933904608742,0.91803277,0.22764793,0.2247242,0.9375,0.22465815
17,0.22275435411539235,0.91803277,0.22268268,0.21921067,0.9467593,0.21913388
18,0.21687248935464953,0.90983605,0.21678914,0.2124429,0.9583333,0.21235323
19,0.21026004044736019,0.93442625,0.21016298,0.20496996,0.962963,0.20486519
20,0.2027217599212146,0.93442625,0.20260863,0.19695015,0.9652778,0.19682795
21,0.19476756233660902,0.93442625,0.19463664,0.18803918,0.9675926,0.18789719
22,0.1863872243976984,0.93442625,0.18623511,0.17948177,0.9675926,0.17931803
23,0.17755902790632405,0.93442625,0.17738344,0.16961804,0.9699074,0.1694305
24,0.16895704716444016,0.93442625,0.16875714,0.16079912,0.9722222,0.16058649
25,0.16053569304649948,0.93442625,0.16031028,0.1512255,0.9722222,0.15098628
26,0.15207425358354068,0.93442625,0.1518208,0.14268252,0.9722222,0.14241618
27,0.14430252890117834,0.93442625,0.14402404,0.13511588,0.9722222,0.13482206
28,0.13714604824781418,0.93442625,0.13684016,0.12684506,0.9722222,0.12652329
29,0.13017647676780575,0.93442625,0.1298399,0.11967197,0.9722222,0.1193228
30,0.12408989185436828,0.93442625,0.12372709,0.11263601,0.9722222,0.11225968
31,0.11878383913856061,0.93442625,0.11839403,0.10711538,0.9722222,0.10671325
32,0.11377547424836237,0.93442625,0.1133618,0.10165144,0.9722222,0.10122386
33,0.10930122644258816,0.93442625,0.1088621,0.09715667,0.9722222,0.096704885
34,0.10535081141613058,0.93442625,0.10488926,0.09251686,0.9722222,0.09204146
35,0.10145647945951243,0.93442625,0.10097005,0.08864821,0.9722222,0.088150635
36,0.09848631130623035,0.93442625,0.097979315,0.08532409,0.9722222,0.08480546
37,0.09531478443350948,0.93442625,0.09478657,0.0819374,0.9722222,0.081398875
38,0.09288753144687316,0.93442625,0.09233959,0.07942186,0.9722222,0.078864746
